2020 김해 -> 제주


 "진에어",   "07:05", "08:05", "할인석", "72,800", "9석", "501", "26"
 "에어부산",   "07:35", "08:35", "할인석", "70,250", "9석", "8107", "26"
 "에어부산",   "09:30", "10:30", "할인석", "70,250", "9석", "8171", "26"
 "에어부산",   "11:35", "12:35", "할인석", "48,500", "9석", "8183", "26"
 "에어부산",   "12:00", "13:00", "할인석", "52,850", "9석", "8109", "26"
 "진에어",   "12:30", "13:35", "할인석", "57,800", "1석", "561", "26"
 "진에어",   "13:20", "14:20", "할인석", "56,800", "9석", "505", "26"
 "제주항공",   "14:50", "15:50", "할인석", "50,900", "9석", "511", "26"
 "제주항공",   "15:45", "16:45", "할인석", "50,900", "9석", "513", "26"
 "진에어",   "17:10", "18:10", "할인석", "40,800", "9석", "507", "26"
 "제주항공",   "17:20", "18:20", "할인석", "42,900", "3석", "515", "26"
 "제주항공",   "17:30", "18:30", "할인석", "42,900", "9석", "525", "26"
 
--

 "에어부산",   "06:50" ,"07:55", "할인석", "26,450", "9석", "8101", "27"
 "진에어",   "07:00", "08:00", "할인석", "37,800", "9석",  "501", "27"
 "에어부산",   "07:20", "08:35", "할인석", "27,750", "9석", "8107", "27"
 "에어부산",   "07:45", "08:55", "할인석", "27,750", "9석", "8133", "27"
 "제주항공",   "08:25", "09:30", "할인석", "42,900", "5석", "503", "27"
 "제주항공",   "09:10", "10:10", "할인석", "42,900", "9석", "505", "27"
 "에어부산",   "09:30", "10:30", "할인석", "37,500", "9석", "8171", "27"
 "진에어",   "10:10", "11:10", "할인석", "48,800", "6석", "503", "27"
 "에어부산",   "11:35", "12:35", "할인석", "40,750", "6석", "8183", "27"
 "제주항공",   "12:30", "13:25", "할인석", "50,900", "1석", "509", "27"
 "진에어",   "13:20", "14:20", "할인석", "37,800", "9석", "505", "27"
 "제주항공",   "14:50", "15:50", "할인석", "30,900", "3석", "511", "27"
 "진에어",   "17:40", "18:40", "할인석", "24,800", "9석", "507", "27"
